"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","RT @BuzzFeedPH: 14 Times Miriam Defensor-Santiago Was Your Spirit Human https://t.co/KT1pDgNx2S https://t.co/MJL8SxKFXr",FALSE,0,NA,2016-10-11 14:35:09,FALSE,NA,"785851235123331072",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","acciomyara",60,TRUE,FALSE,NA,NA
"2","RT @BuzzFeedPH: 14 Times Miriam Defensor-Santiago Was Your Spirit Human https://t.co/KT1pDgNx2S https://t.co/MJL8SxKFXr",FALSE,0,NA,2016-10-11 14:33:18,FALSE,NA,"785850769249632256",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","msmarialeanor",60,TRUE,FALSE,NA,NA
"3","RT @BuzzFeedPH: 14 Times Miriam Defensor-Santiago Was Your Spirit Human https://t.co/KT1pDgNx2S https://t.co/MJL8SxKFXr",FALSE,0,NA,2016-10-11 14:31:59,FALSE,NA,"785850437555609601",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","_dayleemata",60,TRUE,FALSE,NA,NA
"4","""Sana sibuyas ka na lang para kahit umiyak man ako dahil sayo, at least tinatadtad naman kita ng kutsilyo""

- Miriam Defensor Santiago",FALSE,2,NA,2016-10-11 14:23:40,FALSE,NA,"785848346007203840",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","KeithBriosos",0,FALSE,FALSE,NA,NA
"5","""When we interred Miriam we interred democracy""- witness to the cheating on the presidential bids of Miriam Defensor Santiago and FPJ",FALSE,0,NA,2016-10-11 14:22:36,FALSE,NA,"785848076808359937",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","lgdgee",0,FALSE,FALSE,NA,NA
"6","@milkybrad i just need to review and do this feature article bout miriam defensor santiago whoppsss",FALSE,0,"milkybrad",2016-10-11 12:56:09,FALSE,"785817176359866368","785826322882760705","2953038901","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","milkybrad",0,FALSE,FALSE,NA,NA
"7","https://t.co/zbBMBopZMW",FALSE,0,NA,2016-10-11 12:46:59,FALSE,NA,"785824015302615041",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","PabloLayson",0,FALSE,FALSE,NA,NA
"8","RT @StarCinema: Ating balikan ang 'di malilimutang istorya ng buhay ng ""Iron Lady of Asia,"" Miriam Defensor-Santiago, bukas sa #MMK… https:…",FALSE,0,NA,2016-10-11 12:17:45,FALSE,NA,"785816656073285632",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","KimFazlala45",75,TRUE,FALSE,NA,NA
"9","RT @senmiriam: The family and friends of Sen. Miriam Defensor Santiago invite everyone to join them for a mass on the ninth day of her pass…",FALSE,0,NA,2016-10-11 12:07:46,FALSE,NA,"785814142883995648",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","sidreams11",525,TRUE,FALSE,NA,NA
"10","RT @ANCALERTS: REST IN PEACE. Former Senator Miriam Defensor-Santiago, known as the ""Iron Lady of Asia"", has passed away at the age of 71.…",FALSE,0,NA,2016-10-11 11:33:30,FALSE,NA,"785805521378906112",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","LoiyalBelieber",2467,TRUE,FALSE,NA,NA
