"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","<U+7A76><U+6975><U+306E><U+8CEA><U+554F><U+304B><U+306A><U+3042><U+3002><U+307F><U+3067><U+3057><U+3067><U+597D><U+304D><U+306A><U+30AD><U+30E3><U+30E9><U+306F><U+FF1F>(<U+307E><U+3086><U+3089><U+3001><U+3053><U+306E><U+306F><U+306A><U+3069><U+306E><U+65B9><U+306F><U+3059><U+3044><U+307E><U+305B><U+3093>) #<U+672A><U+78BA><U+8A8D><U+3067><U+9032><U+884C><U+5F62> #<U+307F><U+3067><U+3057> #MDS",FALSE,0,NA,2016-10-12 11:17:23,FALSE,NA,"786163852207456256",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","miteisan1",0,FALSE,FALSE,NA,NA
"2","Dr. Amy DeZern will be answering your questions LIVE during the #MDS webinar in October! https://t.co/1xRKvsMkEB",FALSE,0,NA,2016-10-12 10:01:34,FALSE,NA,"786144774315249664",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","MediComOncology",0,FALSE,FALSE,NA,NA
"3","<ed><U+00A0><U+00BD><ed><U+00B1><U+00AF>#pcpconvention2016 #MDs @ Iloilo Convention Center https://t.co/z1AiSY6h2n",FALSE,0,NA,2016-10-12 07:56:50,FALSE,NA,"786113384735444992",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","patrishabarby",0,FALSE,FALSE,"122.5450821","10.7151299"
"4","Laughtrip and Joyride with the gang! #MDs <ed><U+00A0><U+00BD><ed><U+00B1><U+008C><ed><U+00A0><U+00BD><ed><U+00BA><U+0098><ed><U+00A0><U+00BD><ed><U+00B8><U+0086> https://t.co/sez8PlXocq",FALSE,1,NA,2016-10-12 06:57:48,FALSE,NA,"786098526874902528",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RaymaCSantiagO",0,FALSE,FALSE,NA,NA
"5","Epen ini bisa baca sebagian besar buku buku #mds looh. 

#HaloBalita #EnsiklopediBocahMuslim… https://t.co/9b6v5iW3CG",FALSE,0,NA,2016-10-12 06:24:48,FALSE,NA,"786090221737828353",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","NengNungNengDut",0,FALSE,FALSE,NA,NA
"6","Non-stop Grinding <ed><U+00A0><U+00BD><ed><U+00B8><U+008A><ed><U+00A0><U+00BD><ed><U+00B8><U+0089><ed><U+00A0><U+00BD><ed><U+00B1><U+00AF><ed><U+00A0><U+00BD><ed><U+00B2><U+0083><ed><U+00A0><U+00BC><ed><U+00BF><U+00BB><ed><U+00A0><U+00BD><ed><U+00B1><U+008D><ed><U+00A0><U+00BC><ed><U+00BF><U+00BB> happy to shoot! #choreo  #MDS  #AD #choreographer #tvcshoot https://t.co/43GbeQzF5f",FALSE,0,NA,2016-10-12 03:37:27,FALSE,NA,"786048108216004608",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","lalamovement",0,FALSE,FALSE,NA,NA
"7","Eu so queria ter o seu abraço <ed><U+00A0><U+00BC><ed><U+00BE><U+00B6> #mds #sofri #JeM11anos",FALSE,0,NA,2016-10-12 03:04:16,FALSE,NA,"786039757012951040",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","SheillaQuaresma",0,FALSE,FALSE,NA,NA
"8","Team SPH <ed><U+00A0><U+00BD><ed><U+00B8><U+0084><ed><U+00A0><U+00BC><ed><U+00BF><U+00A5> #pcpconvention2016 #MDs @ Iloilo Convention Center https://t.co/qZmqNJ1WRV",FALSE,0,NA,2016-10-12 02:21:06,FALSE,NA,"786028892897349633",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","patrishabarby",0,FALSE,FALSE,"122.5450821","10.7151299"
"9","#Hiring for Lead Engineer - Storage / IBM XIV #TechJobs #edp #mis #vnx #recovery #mds #career | Apply Now https://t.co/kieEZ6dYpi",FALSE,1,NA,2016-10-12 02:01:23,FALSE,NA,"786023929450156032",NA,"<a href=""http://www.headhonchos.com"" rel=""nofollow"">hh_technology</a>","HH_Technology",0,FALSE,FALSE,NA,NA
"10","#Hiring for Windows Mobile Architect Professionals #TechJobs #symbian #blackberry #mds #bes #career | Apply Now https://t.co/N6CB0EiW8c",FALSE,0,NA,2016-10-12 01:43:43,FALSE,NA,"786019487376027649",NA,"<a href=""http://www.headhonchos.com"" rel=""nofollow"">hh_technology</a>","HH_Technology",0,FALSE,FALSE,NA,NA
"11","Tirar essa magoar do meu peito #mds ..<ed><U+00A0><U+00BD><ed><U+00B2><U+0094>",FALSE,0,NA,2016-10-12 01:01:02,FALSE,NA,"786008745319002112",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","MacielStephane",0,FALSE,FALSE,NA,NA
"12","<ed><U+00A0><U+00BD><ed><U+00B1><U+00AF><ed><U+00A0><U+00BD><ed><U+00B1><U+00AF> @jesy_palec liboonlyn #PCPConvention #MDs @ Iloilo Convention Center https://t.co/UQOKNiO4pz",FALSE,0,NA,2016-10-12 00:04:35,FALSE,NA,"785994537252581376",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","patrishabarby",0,FALSE,FALSE,"122.5450821","10.7151299"
"13","Apply to this job: MDS Coordinator with a Subacute/Skilled Nursing Facility  in Brooklyn, NY https://t.co/iJki8KCQbt #MDS",FALSE,0,NA,2016-10-11 22:55:18,FALSE,NA,"785977100033556481",NA,"<a href=""http://www.bullhornreach.com/"" rel=""nofollow"">Bullhorn Reach</a>","DNGPlacement",0,FALSE,FALSE,NA,NA
"14","MDS Coordinator with a Subacute/Skilled Nursing Facility  https://t.co/JPy5FVAb6z #MDS",FALSE,0,NA,2016-10-11 22:35:54,FALSE,NA,"785972218559881216",NA,"<a href=""http://www.bullhornreach.com/"" rel=""nofollow"">Bullhorn Reach</a>","DNGPlacement",0,FALSE,FALSE,NA,NA
"15","You know your #MDS patient has cytopenias that may get worse before they get better. What will you tell them? https://t.co/ybH3Tjv8d0",FALSE,0,NA,2016-10-11 22:02:02,FALSE,NA,"785963694937210880",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","MediComOncology",0,FALSE,FALSE,NA,NA
"16","as mina postando pra parar de caçar palhaço e calçar elas kk pinha se pesca nao se caça kkk #mds",FALSE,0,NA,2016-10-11 20:53:43,FALSE,NA,"785946506134257665",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","THAMIRE72164347",0,FALSE,FALSE,NA,NA
"17","Great Job Opportunity: MDS Coordinator with a Subacute/Skilled Nursing Facility  in Brooklyn, NY https://t.co/mrsBUx6XEi #MDS",FALSE,0,NA,2016-10-11 19:44:57,FALSE,NA,"785929199005626368",NA,"<a href=""http://www.bullhornreach.com/"" rel=""nofollow"">Bullhorn Reach</a>","DNGPlacement",0,FALSE,FALSE,NA,NA
"18","RT @BestLeaguesCoD: #NOTICIA | A partir de las 20:30H todos los días, se abrirán los #MDs para cualquier pregunta, inscripción, etc..

#BES…",FALSE,0,NA,2016-10-11 18:53:38,FALSE,NA,"785916286580686848",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","publiesports",3,TRUE,FALSE,NA,NA
"19","@nishaharish tell me about your #MdS expo?",FALSE,0,"nishaharish",2016-10-11 17:52:49,FALSE,NA,"785900981066293248","2417851076","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ashleycharlwood",0,FALSE,FALSE,NA,NA
"20","RT @BestLeaguesCoD: #NOTICIA | A partir de las 20:30H todos los días, se abrirán los #MDs para cualquier pregunta, inscripción, etc..

#BES…",FALSE,0,NA,2016-10-11 16:45:27,FALSE,NA,"785884027983126529",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","xLuXoRzZ",3,TRUE,FALSE,NA,NA
"21","RT @BestLeaguesCoD: #NOTICIA | A partir de las 20:30H todos los días, se abrirán los #MDs para cualquier pregunta, inscripción, etc..

#BES…",FALSE,0,NA,2016-10-11 16:45:23,FALSE,NA,"785884009729519616",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","vaaROH_",3,TRUE,FALSE,NA,NA
"22","#NOTICIA | A partir de las 20:30H todos los días, se abrirán los #MDs para cualquier pregunta, inscripción, etc..

#BESTLeaguesCOD <ed><U+00A0><U+00BD><ed><U+00B4><U+00A5><ed><U+00A0><U+00BD><ed><U+00B8><U+0080>",FALSE,2,NA,2016-10-11 16:45:10,FALSE,NA,"785883955052552192",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","BestLeaguesCoD",3,FALSE,FALSE,NA,NA
"23","#WorldMentalHealthDay. #Ontario needs more #MDs who can also do #therapy. So few can afford the private counseling they need.",FALSE,1,NA,2016-10-11 16:16:51,FALSE,NA,"785876827059265536",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","LeeParpart",0,FALSE,FALSE,NA,NA
"24","The campaign materials are coming along nicely #print #leaflet #heretohelpmds #mdsworldawarenessday #countdown… https://t.co/Copw247QRP",FALSE,1,NA,2016-10-11 15:01:36,TRUE,NA,"785857891190337539",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","HeretoHelpMDS",1,FALSE,FALSE,NA,NA
"25","#MDS #heretohelpmds #blood #oncology #genetics #oncologytube https://t.co/h5Hkfc7eG4",FALSE,1,NA,2016-10-11 14:56:20,FALSE,NA,"785856566025187328",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","HeretoHelpMDS",0,FALSE,FALSE,NA,NA
"26","RT @HeretoHelpMDS: 15 days 2 go until #MDS World Awareness Day &amp; #heretohelpmds campaign launch #mdsalliance #myelodysplasia https://t.co/Q…",FALSE,0,NA,2016-10-11 14:45:31,FALSE,NA,"785853843946995712",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","MDS_UK",1,TRUE,FALSE,NA,NA
"27","RT @BestLeaguesCoD: #INFO | Buenos días, en nada empezamos con los #MDs a responder las preguntas vuestras.

#MGs los que quieren <ed><U+00A0><U+00BD><ed><U+00B8><U+0087>.

@Zona…",FALSE,0,NA,2016-10-11 14:02:27,FALSE,NA,"785843004397543424",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ZonaGamingPW",6,TRUE,FALSE,NA,NA
"28","RT @MDS_LosSamanes: Entra por el ARO No entres al TRIÁNGULO del #Delito Actúa y colabora con la #MDS en tu comunidad  https://t.co/GNddUqdm…",FALSE,0,NA,2016-10-11 13:38:28,FALSE,NA,"785836971688071169",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","antonolo",3,TRUE,FALSE,NA,NA
"29","David Heil, VP of Business Development, is enjoying the MDS Conference in Las Vegas. Stop by our booth to learn mor… https://t.co/vH5excL6jF",FALSE,0,NA,2016-10-11 13:19:54,TRUE,NA,"785832296439918592",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Apollo_MD",0,FALSE,FALSE,NA,NA
"30","RT @BestLeaguesCoD: #INFO | Buenos días, en nada empezamos con los #MDs a responder las preguntas vuestras.

#MGs los que quieren <ed><U+00A0><U+00BD><ed><U+00B8><U+0087>.

@Zona…",FALSE,0,NA,2016-10-11 13:19:43,FALSE,NA,"785832250969645057",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","xLuXoRzZ",6,TRUE,FALSE,NA,NA
